date	臺南市	澎湖縣	雲林縣	苗栗縣	新竹縣	連江縣	基隆市	高雄市	臺東縣	彰化縣	屏東縣	嘉義市	桃園市	宜蘭縣	金門縣	嘉義縣	南投縣	新竹市	新北市	臺中市	臺北市	花蓮縣	
20120101	2027987	17468	1993972	234079	1160080	2234	25460	4390635	425741	1849579	717963	91527	724397	488346	111855	148953	1499117	24064	2550662	1039759	3116904	1010652
20120201	1592788	16924	1407473	198917	930487	2315	25975	3679585	266187	819468	559036	103501	516706	366411	102235	168450	1746048	23816	2424714	1043178	10228903	797982
20120301	1506626	30686	1301987	188122	1057623	2541	28478	2345683	207207	579624	663164	114432	612196	299170	171173	383193	1536266	35960	2458079	606976	3748222	787677
20120401	1979912	136400	946546	337798	1124766	5154	49756	2475720	268166	488206	756728	118553	645988	647395	220845	274784	1663162	52896	2814253	655826	3386286	974996
20120501	1735275	276933	538985	305604	1416284	8432	39617	2045422	237764	458762	796190	108170	576246	473734	246918	199686	1263997	41672	2943621	754198	3171304	834260
20120601	1482672	183757	306934	219611	1134826	8924	42039	1345769	207799	440005	607644	111128	451278	368535	222641	95847	921177	58240	2763364	661525	2980754	830930
20120701	1668897	314093	293589	227069	1437781	15247	50342	1874421	790556	644858	954067	118170	804934	957592	286144	197300	1759512	48236	4039856	2261439	3716503	1237465
20120801	1139525	197282	277676	146553	1370526	14633	45135	1476472	664949	649758	784702	115085	585821	665604	221915	52064	1572730	54964	2701201	2703699	3476105	962923
20120901	1377120	139658	240202	149776	1261334	17405	42350	1587190	258669	647108	587542	113022	505808	348909	174176	123287	1163129	59244	2513779	2252181	2701739	756052
20121001	1797518	56304	442581	207093	1172681	16612	48473	3572801	221116	733755	778844	115793	727041	473010	240982	190067	1438261	68924	2929559	1431800	3201899	894886
20121101	1734163	20898	417696	207867	1028898	8769	33434	1765171	204124	634404	686848	116902	572778	419884	194181	203166	1397173	25528	2659203	1394777	3427507	992030
20121201	1405705	13438	461372	232841	1030891	4490	25954	2657783	224082	717982	811836	119168	519249	357550	148428	201484	1414820	10748	2346386	1256426	3565004	899955
20130101	2082165	16536	250048	194662	993507	2213	24651	1851779	171644	712297	440270	106216	578617	289605	86191	157005	1028371	16440	2106971	2674458	3016705	701424
20130201	2879198	20198	2749812	338181	1178513	4375	35653	7351158	439145	3019742	844699	218209	699919	595400	116001	206403	2062233	15502	3652777	5300958	4228972	1293743
