year_month,六堆客家文化園區,臺灣鹽博物館,奇美博物館,新北市黃金博物園區,台北當代藝術館,國立科學工藝博物館,新北市客家文化園區,國立臺灣科學教育館,陽明海洋文化藝術館,國立臺灣美術館,莒光樓,國立臺灣歷史博物館,台北故事館,新北市立十三行博物館,陽明高雄海洋探索館,坪林茶業博物館,嘉義市立博物館,國立自然科學博物館,美濃客家文物館,三峽歷史文物館,國立中正紀念堂,國立海洋科技博物館,市立天文科學教育館,國立臺灣史前文化博物館,北投溫泉博物館,國立歷史博物館,國立故宮博物院,木雕博物館,臺灣客家文化館,市立美術館,國立海洋生物博物館,高雄市立歷史博物館,臺北探索館,新北市立鶯歌陶瓷博物館,朱銘美術館,凱達格蘭文化館,卑南遺址公園,國父紀念館,國立臺灣博物館,林本源園邸( 林家花園),高雄市立美術館
2012,0,16278,0,133916,9508,154390,64139,314408,3107,0,13866,0,10049,60378,8215,11263,19526,297580,20385,0,459234,0,34874,19831,34088,58455,298037,10597,0,30209,122144,18146,8378,55819,7921,22812,21137,621498,0,35523,141253
2012.083333,0,8916,0,122711,16279,112645,76996,244453,1968,0,16327,0,7956,40009,4333,12300,11500,266656,11793,0,446564,0,45116,14118,38693,84334,329963,11202,0,22190,81096,16465,15740,55964,6181,25317,12669,7248128,0,29097,117150
2012.166667,0,6623,0,120575,19263,303590,60121,98033,2183,0,31682,0,8710,53391,5978,12815,17571,205678,7489,0,473544,0,48289,8585,35707,57565,426229,7442,0,24057,67881,9254,20403,58217,8936,26623,11471,575924,0,31149,83966
2012.25,0,7924,0,145568,19095,424343,100010,143329,16559,0,38670,0,9214,77498,7690,16606,19565,223141,25541,0,502759,0,62191,12761,37188,22191,464262,14882,0,28545,91924,8246,16973,91447,14083,33849,13930,735666,0,33866,61880
2012.333333,0,5687,0,131076,16325,306819,120428,192393,3154,0,42204,0,8955,67388,4859,17108,15728,195094,7038,0,527102,0,59885,12098,34755,13610,421357,16723,0,27449,96613,7518,15410,66644,10357,24985,11753,744047,0,28887,48203
2012.416667,0,10048,0,131076,13706,89524,123231,131550,2677,0,35943,0,9028,65224,3551,13475,16336,174806,4612,0,594956,0,42014,10421,32983,44284,309928,8907,0,22673,100207,6638,18647,63697,8950,15547,7932,763464,0,18288,45182
2012.5,0,11877,0,205353,13047,164337,72342,322254,6395,0,40861,0,7937,82108,7533,19191,25438,328805,9174,0,684388,0,74641,26767,44778,123676,375416,14502,0,29423,201609,8966,26055,158395,24379,28912,16061,780787,0,32047,83082
2012.583333,0,11253,0,186222,13145,145800,44117,227673,5778,0,33993,0,8920,74950,9330,13186,19402,289978,6353,0,632525,0,85991,16485,47214,109661,367686,14351,0,40549,152052,8789,22317,158156,20764,27609,12103,807336,0,29181,68383
2012.666667,0,6564,0,152238,12006,99339,46158,83024,1911,0,27046,0,9740,65261,7506,11719,17409,210685,5123,0,607064,0,61457,13112,44313,64351,279346,10221,0,15371,102565,6324,12924,94723,12154,27394,10388,470551,0,28676,69003
2012.75,0,7510,0,157793,20467,137487,51773,103668,3376,0,42651,0,8358,73158,7506,15412,21280,218440,5829,700,552112,0,48734,11589,40964,34734,345925,9994,0,35997,106725,7392,19529,97373,14439,36132,14175,666502,0,35449,79925
2012.833333,0,7190,0,141419,11476,89260,52476,225954,3457,0,32679,0,8202,56112,7042,12520,22169,231326,9674,600,518065,0,61984,11376,43422,38966,370956,9288,0,31220,81828,7149,18191,89809,11004,33230,14279,672478,0,31015,89247
2012.916667,0,10609,0,146568,13741,147419,40697,234988,1873,0,26729,0,18174,42025,4158,15326,25746,311734,11668,4456,544333,0,63858,15094,48988,58326,371710,11300,0,31592,83013,8620,20594,74041,8863,37503,18208,883154,0,25879,99857
2013,0,6035,0,100379,10368,134056,37046,205389,3695,80251,14499,0,8074,35547,4733,11692,7765,246255,7038,3936,457299,0,37131,10146,43794,41224,304278,6106,0,26514,43106,8232,12365,68677,4840,23525,16989,584810,0,27012,97361
2013.083333,0,17923,0,153691,11438,222770,44032,293358,3384,85721,17067,0,9127,86186,11475,23006,20497,341720,29496,8700,505442,0,34535,18381,26273,64728,324931,10686,0,25399,132311,15618,10433,107202,11589,10963,29384,540307,0,60463,124198
2013.166667,0,5256,0,133310,12793,218830,60067,100381,2827,102207,24496,0,19309,49799,8234,14525,26750,284650,8249,4536,558320,0,46629,9520,40520,53382,388409,6272,0,24616,71500,7962,25752,77734,12100,20176,21620,581583,0,34359,73498
2013.25,0,6918,0,130318,12294,215227,58317,159628,10195,113460,35715,0,9490,65153,8256,18119,20221,299082,0,4664,547418,0,63816,14183,30264,72681,396625,14383,0,27199,91478,7082,14843,104009,9394,17608,27289,745653,0,27216,76436
2013.333333,0,10152,0,128460,16170,186120,74090,130327,3528,109721,33072,0,9093,79679,4555,18298,28817,288754,0,3215,543462,0,50076,11836,32084,63243,333495,11069,0,22572,89496,6859,16647,71979,10234,20151,25076,679983,0,16267,78313
2013.416667,0,11354,0,157598,17100,198632,100608,170787,3868,129089,33990,0,9061,74164,4324,23070,24385,240907,0,3212,519881,0,43603,16501,34153,34300,338163,11548,0,17795,118851,8754,22493,85399,12704,21991,13690,575310,0,24845,97314
2013.5,0,9294,0,175310,17703,229788,67620,284880,6268,132868,35584,0,8906,75049,6648,19724,19210,347513,6096,7804,506791,0,78299,27514,33724,40768,397836,9518,0,21476,187865,7436,26124,126361,15775,21258,16424,688101,0,24819,123437
2013.583333,0,9339,0,201786,17431,259666,83965,332002,5708,143384,29938,0,8356,80141,8784,22016,22571,357382,9704,4726,561403,0,88123,25256,42358,45077,472754,13900,0,44209,187865,8625,22757,153677,18851,20403,16784,694394,0,28884,103525
2013.666667,0,4465,0,146095,17881,160801,82568,107545,2247,85772,30949,0,9365,57239,6487,18562,24659,222636,6384,3092,464775,0,59834,10771,53084,49175,376983,8940,0,29244,112867,6377,14860,73165,9916,18543,13536,581589,0,23076,76875
2013.75,0,6391,0,174478,20392,154421,85832,112393,2931,83932,33114,0,11098,89903,11033,21785,28226,314735,8185,4472,559038,0,48239,13584,47226,24644,359249,10752,0,37955,112374,9659,16595,91201,14202,23572,16043,540200,0,35449,67285
2013.833333,0,4279,0,168765,17018,140730,87605,182259,2424,76024,33068,0,11262,100136,7499,21557,26283,244915,13870,5127,532798,0,54538,14384,55241,36753,410667,9102,0,38532,84845,7961,40107,82946,12931,23459,17031,635299,0,39533,59166
2013.916667,0,4631,0,152058,19081,143758,71022,123501,8877,68258,20075,0,10300,48313,3027,20666,27400,210116,12936,2564,551110,0,53374,14384,50133,61336,397288,7615,0,45416,67998,7727,38171,79193,7990,29911,17031,615442,0,28331,60385
2014,0,4536,0,151230,12366,115828,68662,185372,17616,65182,13602,24150,11254,34482,3075,12607,25911,190478,9012,3317,540788,0,28884,10729,38943,78062,389257,5380,0,32659,61532,7767,23197,59407,6533,21872,13772,601739,0,27728,58693
2014.083333,0,6576,0,188759,18106,163241,70140,187835,6676,98585,18171,34095,15072,76276,6250,19951,24198,216261,27609,3106,649659,0,34346,21697,34459,97474,458965,9541,0,48700,112848,52942,15105,81555,9048,18535,16738,510708,0,47570,68873
2014.166667,0,3313,0,162115,14183,104196,76173,147446,1590,115242,29083,32998,8136,55922,6830,20666,28998,193967,12180,5530,673607,0,49361,13414,41525,15385,505251,7605,0,37686,78730,28011,28981,79563,8871,21631,17403,615339,0,38278,66261
2014.25,0,4539,0,163714,13300,162005,71979,251781,8641,118702,66381,36636,8816,113906,6729,20237,28881,251255,12248,5013,550088,0,79927,11980,42657,8894,507282,14239,0,37302,86158,20906,15373,106163,10269,19713,17694,599778,0,41847,68628
2014.333333,0,3836,0,157191,29629,141395,77574,120630,2959,70882,39875,37836,9032,81698,6977,20367,31837,240997,8712,3986,578263,0,44494,13979,45627,1310,496465,11576,0,29328,115478,17693,25250,92745,10309,23665,15788,582176,0,39214,61855
2014.416667,0,7194,0,178160,16311,130389,104792,198564,1937,80587,35095,33704,8406,85118,4770,0,26811,222157,9144,6208,495607,0,44175,14967,39607,0,408086,8776,0,29154,135843,21521,26496,108720,10279,21304,15294,555850,0,31214,53207
2014.5,0,11700,0,210745,23869,269211,72514,439408,4368,109186,40332,37015,8757,94997,8414,0,29947,342114,12185,4853,533840,0,79982,33275,43671,31702,428610,10398,0,34821,197483,34327,22154,144815,21300,22212,17738,572168,0,30584,89287
2014.583333,0,9115,0,250846,28079,199085,79802,393563,5870,133314,31664,35857,5799,116694,5939,0,29650,373758,8748,6317,556757,0,92422,27161,53331,41384,453959,12600,0,38715,185797,28861,24848,177283,27609,23236,16378,552793,0,34313,75915
2014.666667,0,3839,0,177368,13723,171391,68507,96893,3030,100188,24056,26477,7391,79880,3867,0,26389,190580,5004,2985,488149,0,57600,12932,41106,25329,384277,8140,0,31443,114384,19288,11384,84863,9916,11616,15712,510916,0,22628,47463
2014.75,0,5517,0,212851,22323,197881,74722,109383,2530,134498,33974,47534,11125,101141,7319,0,28446,249304,11357,2466,574091,0,65269,15117,61121,21011,458793,9051,0,58068,131524,26749,15553,105703,14891,25849,17032,563163,0,42454,79492
