year_month,冷水坑,八二三砲戰紀念館,玉山管理處遊客服務中心,南灣遊憩區,貓鼻頭公園,大屯遊憩區,古寧頭戰史館,翟山坑道,金水學校,民俗文化村,龍鑾潭自然中心,陽明公園,小油坑遊憩區,太魯閣國家公園遊客中心,布洛灣遊憩區,塔塔加遊憩區,陽明書屋,武陵遊客中心,擎天崗,墾丁國家公園管理處遊客中心,九宮(四維)坑道,臺八線沿線景觀區,南安遊客中心,得月樓,梅山遊客中心,佳樂水,蔣經國先生紀念館,中山林遊客中心,陽明山遊客中心,排雲山莊,雙鯉溼地自然中心,龍鳳谷遊憩區,汶水遊客中心,雪見遊憩區,湖井頭戰史館,社頂自然公園,砂島貝殼砂展示館,觀霧遊客中心,鵝鑾鼻公園
2012.076923,0,10169,13262,14273,110013,17047,13132,17774,9342,7604,9461,161000,20839,38084,49002,83806,2597,22581,0,7294,6573,257658,37578,0,4846,23130,8641,6761,12187,371,11135,21201,21972,18647,6858,35168,11011,5147,97983
2012.153846,0,6589,9460,11435,120006,29079,11486,18470,9552,5745,5519,463000,16853,49818,47216,59526,3617,52952,0,13380,3625,227447,19373,0,1854,12348,8804,6724,18612,80,10221,22134,23322,10465,4692,29869,5899,1954,71121
2012.230769,0,9375,9322,12042,219938,38558,13377,34199,14592,9113,5002,705200,24528,50077,37872,63451,5221,20895,0,14342,6908,264916,21987,0,1190,7851,18566,10335,18580,376,14807,62447,10533,7592,8219,50254,7080,1983,124795
2012.307692,0,11941,10362,12037,245203,34332,15945,50537,16860,10367,8260,85600,27840,65072,54038,71541,4317,11503,0,17822,10529,328684,20037,0,1849,13659,22364,13070,13329,1476,19710,64691,25229,9731,10852,55719,14045,2239,132621
2012.384615,0,16970,10233,28331,264562,43906,20744,46596,18217,13885,8258,38600,18760,49089,42751,64384,3497,9799,0,4326,12346,310066,18384,0,1092,13244,24564,14359,14179,1511,22814,16243,32036,9615,14219,60217,11460,4087,150078
2012.461538,0,15691,10338,33942,171297,42586,20145,37034,16339,13184,7796,28000,18184,69406,42106,19312,2815,7707,0,14930,13663,230021,12088,0,0,11419,18770,14359,11397,979,23407,15811,26862,4638,14106,40673,11220,2289,105592
2012.538462,0,21600,13533,66187,193272,63721,28036,49735,23210,17713,8824,51700,25647,97675,71392,34755,3005,24053,0,18685,15983,294889,24176,0,0,22364,23083,21490,16000,1868,27285,15787,29115,5304,17148,51299,15020,15669,140841
2012.615385,0,17227,10098,38282,201073,41881,19053,38635,17392,14638,5449,44700,20332,125203,38338,17392,2497,5444,0,11390,13057,157572,16894,0,0,14583,17964,15499,11791,643,20369,16963,19416,1655,14088,50439,14302,1143,144874
2012.692308,0,11865,9042,25641,154367,51743,16257,29552,14363,10939,7433,39000,22928,76801,42918,25217,2764,7090,0,10466,10966,217592,23817,0,6,1614,14556,11421,10469,1548,15966,16176,18005,2220,11245,34357,11618,4725,94828
2012.769231,0,13966,9670,25301,217072,38214,21420,45085,21359,13764,10356,36000,28958,99535,47875,39252,3701,9280,0,19945,13055,301852,22601,0,651,23319,21730,13293,11515,2128,20930,18951,27981,3380,13729,53778,12745,4598,135955
2012.846154,0,11567,10719,13860,225214,27467,17123,36941,18118,10982,10464,35000,19923,117139,46417,53688,2863,20355,0,14169,8281,385195,23157,0,27,9414,18388,10023,6896,2173,20756,18136,39199,4492,9323,50352,8285,4762,118468
2012.923077,0,9182,16931,12343,248262,27306,14997,26445,14789,7947,8102,33000,21417,97284,37951,50449,2983,13979,0,10584,5677,361965,20602,0,19,10308,14450,8238,9631,966,13601,19135,30317,2907,6373,54440,10100,3977,124173
2013.076923,0,6080,14978,12128,148567,23629,8485,15021,9314,4591,6667,114000,19162,62312,30563,58010,3010,16014,0,11753,3037,263263,22651,0,1066,7491,7680,6050,18133,464,8143,21683,20091,1755,3291,33098,9040,2524,75749
2013.153846,0,9864,9523,26542,172044,41333,10456,18045,11811,8231,8643,768000,19997,91263,57860,102555,3667,46340,0,9195,5795,295700,41887,0,3507,24942,9642,7470,66380,29,11483,38987,54228,12806,6137,46373,12915,9039,116169
2013.230769,0,8008,9128,22932,212723,60660,11577,23843,13589,6339,7484,582000,38851,67773,40306,63474,3804,19165,0,16339,4833,306227,22030,0,956,11958,13898,7581,28664,1232,10853,45769,63631,5842,5202,46200,10575,5471,97726
2013.307692,0,10752,9833,28384,295292,30168,15635,36589,18722,10168,10949,76000,28281,102049,46412,65522,3082,10691,0,15193,6445,333086,21543,0,985,16153,20129,12419,13106,1989,16789,66359,44743,4265,9076,63595,18436,6330,136287
2013.384615,0,15390,8567,33242,206972,44126,20982,32130,18811,14312,7902,35800,24669,233008,7698,55806,2826,7928,0,12788,12072,135639,20112,0,852,13660,21619,13502,14624,1514,21148,16353,79502,5731,12773,48090,14320,5780,119027
2013.461538,0,16648,10890,48756,160380,122164,24272,38113,18106,14476,7050,27500,39041,218032,8095,47415,2943,8966,0,17305,14013,138866,18750,0,1001,17660,18761,13850,12856,3815,24923,20637,63388,9837,14409,41165,12900,6051,108756
2013.538462,0,18835,10853,56483,204397,101522,26417,41179,21850,16144,7603,44700,26927,208832,18321,39634,2817,17602,0,24518,15258,201261,16512,0,1066,23259,18833,17729,14267,3133,25661,15077,68177,4956,16005,53738,19940,4016,147142
2013.615385,0,16316,11071,38306,197884,100871,23035,38467,20833,14342,7051,42500,25852,168460,32203,41606,2668,18843,0,25097,11884,225261,18696,0,521,22773,17542,7993,10917,2632,22217,19399,69312,0,12473,51423,13197,436,142143
2013.692308,0,14175,9828,27368,164260,49849,20444,31818,15873,13133,6752,38000,22187,139764,24482,51046,2550,8359,0,22366,12434,148735,19749,0,315,8882,16437,12372,8291,2903,18504,17461,67085,0,12276,39141,10520,1783,102581
2013.769231,0,15653,12708,20686,190992,47142,24478,36202,18702,15203,13113,35000,29937,179035,25700,56146,3191,12813,0,33060,12907,176266,22069,0,710,33254,20094,13531,8156,3582,14173,18297,140744,0,13166,52263,11956,3378,139502
2013.846154,0,11830,10034,15398,190321,52135,18244,35983,21370,12738,10663,32500,31949,139871,34686,58063,3748,18255,0,29364,9762,189017,20930,0,654,14573,19612,11192,7192,3803,5154,23211,113390,0,9725,45765,8635,4940,115379
2013.923077,0,8251,12272,12064,21254,22932,12251,26087,11731,7359,8318,31000,21653,156056,49005,50601,2455,11618,0,29186,5407,221375,15400,0,1805,12294,13146,8508,6792,2841,13751,17523,86738,4796,6010,22690,9755,4098,118162
2014.076923,0,5791,14730,17615,157440,54121,7453,15086,7635,4317,6293,98500,27940,119542,39204,23433,2446,14706,0,20582,3316,220707,16574,0,1569,9959,6903,4602,30147,727,8016,22199,40808,6602,2998,36578,12891,3661,86397
2014.153846,0,8457,9810,18227,216321,54357,12064,21804,9602,7154,7821,1023900,36535,168130,27403,45814,3203,68008,0,20738,5689,315295,23480,0,3280,24205,9985,6933,12587,6,11225,24641,46690,11241,5894,54908,13240,8003,141135
2014.230769,0,11309,9243,22030,258025,45513,15984,32930,14814,11670,8372,411400,35525,155227,34782,61971,2991,15217,0,27228,8803,274711,22452,0,1943,16490,15045,8306,10463,894,17846,51141,59817,7971,9357,57186,13020,5087,126821
2014.307692,0,12138,9781,56892,341256,55373,17592,39664,20071,12131,7425,78000,33152,171836,43516,56986,3614,7597,0,20308,9217,291781,23126,0,1144,18971,20618,11553,9435,3668,21447,101997,57547,8714,9784,74713,15545,5452,169042
2014.384615,0,16887,9228,42596,247772,48226,24441,45551,20612,15995,8338,32800,29396,189870,44482,32070,2675,7968,0,20380,12132,268849,19134,0,776,21804,21457,11375,7859,3675,24120,18584,68518,4443,13822,58036,15535,3337,139164
2014.461538,0,18703,9695,42665,208057,66879,26418,44221,19418,15694,7776,25400,30995,188885,65955,37898,2361,7743,0,27175,14319,264552,21589,0,199,20156,18710,11763,10190,3378,24682,17464,59175,9001,15917,54059,13660,6539,151398
