year_month,觀霧遊客中心,陽明書屋,龍鑾潭自然中心,佳樂水,湖井頭戰史館,臺八線沿線景觀區,蔣經國先生紀念館,南灣遊憩區,陽明公園,金水學校,陽明山遊客中心,大屯遊憩區,小油坑遊憩區,墾丁國家公園管理處遊客中心,排雲山莊,八二三砲戰紀念館,塔塔加遊憩區,擎天崗,汶水遊客中心,古寧頭戰史館,民俗文化村,雙鯉溼地自然中心,貓鼻頭公園,武陵遊客中心,雪見遊憩區,太魯閣國家公園遊客中心,得月樓,布洛灣遊憩區,砂島貝殼砂展示館,冷水坑,鵝鑾鼻公園,翟山坑道,中山林遊客中心,九宮(四維)坑道,梅山遊客中心,玉山管理處遊客服務中心,社頂自然公園,南安遊客中心,龍鳳谷遊憩區
2012,5147,2597,9461,23130,6858,257658,8641,14273,161000,9342,12187,17047,20839,7294,371,10169,83806,0,21972,13132,7604,11135,110013,22581,18647,38084,0,49002,11011,0,97983,17774,6761,6573,4846,13262,35168,37578,21201
2012.083333,1954,3617,5519,12348,4692,227447,8804,11435,463000,9552,18612,29079,16853,13380,80,6589,59526,0,23322,11486,5745,10221,120006,52952,10465,49818,0,47216,5899,0,71121,18470,6724,3625,1854,9460,29869,19373,22134
2012.166667,1983,5221,5002,7851,8219,264916,18566,12042,705200,14592,18580,38558,24528,14342,376,9375,63451,0,10533,13377,9113,14807,219938,20895,7592,50077,0,37872,7080,0,124795,34199,10335,6908,1190,9322,50254,21987,62447
2012.25,2239,4317,8260,13659,10852,328684,22364,12037,85600,16860,13329,34332,27840,17822,1476,11941,71541,0,25229,15945,10367,19710,245203,11503,9731,65072,0,54038,14045,0,132621,50537,13070,10529,1849,10362,55719,20037,64691
2012.333333,4087,3497,8258,13244,14219,310066,24564,28331,38600,18217,14179,43906,18760,4326,1511,16970,64384,0,32036,20744,13885,22814,264562,9799,9615,49089,0,42751,11460,0,150078,46596,14359,12346,1092,10233,60217,18384,16243
2012.416667,2289,2815,7796,11419,14106,230021,18770,33942,28000,16339,11397,42586,18184,14930,979,15691,19312,0,26862,20145,13184,23407,171297,7707,4638,69406,0,42106,11220,0,105592,37034,14359,13663,0,10338,40673,12088,15811
2012.5,15669,3005,8824,22364,17148,294889,23083,66187,51700,23210,16000,63721,25647,18685,1868,21600,34755,0,29115,28036,17713,27285,193272,24053,5304,97675,0,71392,15020,0,140841,49735,21490,15983,0,13533,51299,24176,15787
2012.583333,1143,2497,5449,14583,14088,157572,17964,38282,44700,17392,11791,41881,20332,11390,643,17227,17392,0,19416,19053,14638,20369,201073,5444,1655,125203,0,38338,14302,0,144874,38635,15499,13057,0,10098,50439,16894,16963
2012.666667,4725,2764,7433,1614,11245,217592,14556,25641,39000,14363,10469,51743,22928,10466,1548,11865,25217,0,18005,16257,10939,15966,154367,7090,2220,76801,0,42918,11618,0,94828,29552,11421,10966,6,9042,34357,23817,16176
2012.75,4598,3701,10356,23319,13729,301852,21730,25301,36000,21359,11515,38214,28958,19945,2128,13966,39252,0,27981,21420,13764,20930,217072,9280,3380,99535,0,47875,12745,0,135955,45085,13293,13055,651,9670,53778,22601,18951
