year_month,金水學校,汶水遊客中心,南安遊客中心,武陵遊客中心,得月樓,九宮(四維)坑道,砂島貝殼砂展示館,蔣經國先生紀念館,太魯閣國家公園遊客中心,古寧頭戰史館,中山林遊客中心,梅山遊客中心,翟山坑道,擎天崗,陽明公園,南灣遊憩區,鵝鑾鼻公園,冷水坑,觀霧遊客中心,臺八線沿線景觀區,小油坑遊憩區,陽明山遊客中心,龍鑾潭自然中心,玉山管理處遊客服務中心,墾丁國家公園管理處遊客中心,湖井頭戰史館,排雲山莊,社頂自然公園,布洛灣遊憩區,民俗文化村,佳樂水,陽明書屋,貓鼻頭公園,雪見遊憩區,龍鳳谷遊憩區,八二三砲戰紀念館,塔塔加遊憩區,雙鯉溼地自然中心,大屯遊憩區
2012,9342,21972,37578,22581,0,6573,11011,8641,38084,13132,6761,4846,17774,0,161000,14273,97983,0,5147,257658,20839,12187,9461,13262,7294,6858,371,35168,49002,7604,23130,2597,110013,18647,21201,10169,83806,11135,17047
2012.083333,9552,23322,19373,52952,0,3625,5899,8804,49818,11486,6724,1854,18470,0,463000,11435,71121,0,1954,227447,16853,18612,5519,9460,13380,4692,80,29869,47216,5745,12348,3617,120006,10465,22134,6589,59526,10221,29079
2012.166667,14592,10533,21987,20895,0,6908,7080,18566,50077,13377,10335,1190,34199,0,705200,12042,124795,0,1983,264916,24528,18580,5002,9322,14342,8219,376,50254,37872,9113,7851,5221,219938,7592,62447,9375,63451,14807,38558
2012.25,16860,25229,20037,11503,0,10529,14045,22364,65072,15945,13070,1849,50537,0,85600,12037,132621,0,2239,328684,27840,13329,8260,10362,17822,10852,1476,55719,54038,10367,13659,4317,245203,9731,64691,11941,71541,19710,34332
2012.333333,18217,32036,18384,9799,0,12346,11460,24564,49089,20744,14359,1092,46596,0,38600,28331,150078,0,4087,310066,18760,14179,8258,10233,4326,14219,1511,60217,42751,13885,13244,3497,264562,9615,16243,16970,64384,22814,43906
2012.416667,16339,26862,12088,7707,0,13663,11220,18770,69406,20145,14359,0,37034,0,28000,33942,105592,0,2289,230021,18184,11397,7796,10338,14930,14106,979,40673,42106,13184,11419,2815,171297,4638,15811,15691,19312,23407,42586
2012.5,23210,29115,24176,24053,0,15983,15020,23083,97675,28036,21490,0,49735,0,51700,66187,140841,0,15669,294889,25647,16000,8824,13533,18685,17148,1868,51299,71392,17713,22364,3005,193272,5304,15787,21600,34755,27285,63721
2012.583333,17392,19416,16894,5444,0,13057,14302,17964,125203,19053,15499,0,38635,0,44700,38282,144874,0,1143,157572,20332,11791,5449,10098,11390,14088,643,50439,38338,14638,14583,2497,201073,1655,16963,17227,17392,20369,41881
2012.666667,14363,18005,23817,7090,0,10966,11618,14556,76801,16257,11421,6,29552,0,39000,25641,94828,0,4725,217592,22928,10469,7433,9042,10466,11245,1548,34357,42918,10939,1614,2764,154367,2220,16176,11865,25217,15966,51743
2012.75,21359,27981,22601,9280,0,13055,12745,21730,99535,21420,13293,651,45085,0,36000,25301,135955,0,4598,301852,28958,11515,10356,9670,19945,13729,2128,53778,47875,13764,23319,3701,217072,3380,18951,13966,39252,20930,38214
2012.833333,18118,39199,23157,20355,0,8281,8285,18388,117139,17123,10023,27,36941,0,35000,13860,118468,0,4762,385195,19923,6896,10464,10719,14169,9323,2173,50352,46417,10982,9414,2863,225214,4492,18136,11567,53688,20756,27467
2012.916667,14789,30317,20602,13979,0,5677,10100,14450,97284,14997,8238,19,26445,0,33000,12343,124173,0,3977,361965,21417,9631,8102,16931,10584,6373,966,54440,37951,7947,10308,2983,248262,2907,19135,9182,50449,13601,27306
2013,9314,20091,22651,16014,0,3037,9040,7680,62312,8485,6050,1066,15021,0,114000,12128,75749,0,2524,263263,19162,18133,6667,14978,11753,3291,464,33098,30563,4591,7491,3010,148567,1755,21683,6080,58010,8143,23629
2013.083333,11811,54228,41887,46340,0,5795,12915,9642,91263,10456,7470,3507,18045,0,768000,26542,116169,0,9039,295700,19997,66380,8643,9523,9195,6137,29,46373,57860,8231,24942,3667,172044,12806,38987,9864,102555,11483,41333
2013.166667,13589,63631,22030,19165,0,4833,10575,13898,67773,11577,7581,956,23843,0,582000,22932,97726,0,5471,306227,38851,28664,7484,9128,16339,5202,1232,46200,40306,6339,11958,3804,212723,5842,45769,8008,63474,10853,60660
2013.25,18722,44743,21543,10691,0,6445,18436,20129,102049,15635,12419,985,36589,0,76000,28384,136287,0,6330,333086,28281,13106,10949,9833,15193,9076,1989,63595,46412,10168,16153,3082,295292,4265,66359,10752,65522,16789,30168
2013.333333,18811,79502,20112,7928,0,12072,14320,21619,233008,20982,13502,852,32130,0,35800,33242,119027,0,5780,135639,24669,14624,7902,8567,12788,12773,1514,48090,7698,14312,13660,2826,206972,5731,16353,15390,55806,21148,44126
2013.416667,18106,63388,18750,8966,0,14013,12900,18761,218032,24272,13850,1001,38113,0,27500,48756,108756,0,6051,138866,39041,12856,7050,10890,17305,14409,3815,41165,8095,14476,17660,2943,160380,9837,20637,16648,47415,24923,122164
2013.5,21850,68177,16512,17602,0,15258,19940,18833,208832,26417,17729,1066,41179,0,44700,56483,147142,0,4016,201261,26927,14267,7603,10853,24518,16005,3133,53738,18321,16144,23259,2817,204397,4956,15077,18835,39634,25661,101522
2013.583333,20833,69312,18696,18843,0,11884,13197,17542,168460,23035,7993,521,38467,0,42500,38306,142143,0,436,225261,25852,10917,7051,11071,25097,12473,2632,51423,32203,14342,22773,2668,197884,0,19399,16316,41606,22217,100871
