year_month,霧臺遊憩區,涼山遊憩區,梨山遊憩區,北關海潮公園,莒光遊客中心,北寮奎壁山地質公園,外澳濱海遊憩區,鹽寮海濱公園,獅頭山風景區,鼻頭角步道,賽嘉遊憩區,八卦山風景區,石梯坪,龍門露營區,觸口遊客中心,鯉魚潭風景特定區,七美遊客中心,情人湖及湖海灣,翡翠灣濱海遊憩區,臺灣原住民文化園區,鼻頭港服務區,茂林遊憩區,三芝遊憩區,白沙灣,福隆蔚藍海岸,井仔腳瓦盤鹽田,北竿遊客中心,達娜伊谷,花蓮管理站遊客中心,七股鹽山,東引遊客中心,烏山頭水庫風景區,綠島,禮納里部落,關子嶺溫泉區,新光兆豐休閒農場,舊草嶺隧道,圓潭自然生態園區,龍洞南口海洋公園,三地門遊憩區,水里蛇窯,中埔遊客中心,龜山島海域遊憩區,小門地質展示中心,八仙洞,觀音山,鹿野高臺,大里遊客服務中心,金山遊憩區,龍洞灣公園,南方澳遊客中心,曾文水庫,草嶺古道系統(含遠望坑親水公園),南海遊客中心,澎湖遊客中心,都歷處本部,關山親水公園,小野柳(加路蘭),日月潭環潭區,小琉球遊憩區,寶來、不老溫泉區,西嶼西臺,野柳地質公園,虎頭埤風景區,車埕,三仙臺,谷關遊憩區,綠蠵龜觀光保育中心,北海遊客中心,大鵬灣遊憩區,秀姑巒溪遊客中心,和平島公園,馬沙溝濱海遊憩區,南竿遊客中心,福隆遊客服務中心,野柳海洋世界,北門遊客中心
2012,8294,12781,48013,16000,239,0,12812,183,597995,2950,6560,534886,70386,1110,0,205515,0,18649,9520,62622,11500,18212,10808,14411,1484,0,671,4063,6712,110876,579,17313,15176,0,5558,35512,9584,10392,969,0,11000,0,0,4801,26415,34082,52057,30179,9023,2684,18581,25372,11552,7247,1451,12964,25610,35542,397982,21055,38064,466,143505,43037,156407,72261,266889,0,3503,55654,29650,3023,0,745,54246,8304,33947
2012.083333,5043,19224,56885,14500,48,0,26048,88,559877,2450,3058,488170,101636,817,0,102839,0,21181,6821,29565,9500,6559,45482,18197,1140,0,648,3222,5140,61698,637,12471,9377,0,3713,17939,11547,6500,539,0,7181,0,0,3451,9592,53978,22294,28503,8973,1528,12868,16843,15392,6379,1748,7693,14681,22178,744315,19767,6699,707,156861,28379,120204,66177,219001,0,4639,24981,20797,2753,0,982,50091,5718,11856
2012.166667,2640,7946,36607,12800,0,0,7989,233,706461,2350,1709,398077,114101,2348,0,64168,0,20450,10858,21145,9000,921,35562,28705,2564,0,972,5220,4289,40959,394,12832,9617,0,2166,13935,14774,6970,616,0,5814,0,4388,5642,6952,47466,14284,19139,15112,1814,9904,17119,12371,13014,4709,7374,6417,16117,541968,15379,6435,1774,259688,26338,98164,65792,32322,0,5547,19323,27411,5286,0,1175,52266,6553,10512
2012.25,2687,2414,32205,13500,0,0,13311,259,643824,4650,1247,349200,126230,3789,0,99305,0,22002,10396,27180,10500,558,10448,34594,11760,0,2058,5405,5431,48243,771,15309,27641,0,2677,22106,18397,14492,659,0,5290,0,18306,26217,7925,53669,18280,26266,16907,2355,11559,21444,20039,49900,16318,8726,8442,21768,528040,25538,2700,11159,291287,28115,115254,73009,43726,4112,28694,20059,32553,9026,0,2325,71303,12008,12515
2012.333333,1618,5422,18955,15011,982,0,19686,462,1012654,6250,1773,323218,76656,3502,0,86615,0,22050,20004,21164,12000,2232,10166,25748,137621,0,3297,3227,4415,36400,1167,13966,33752,0,1636,15895,18665,12658,1051,0,6270,0,18708,32681,5631,62952,19288,28002,16042,2890,10303,17668,24342,72833,19734,7348,5214,16901,354536,37271,3192,18758,255083,21911,98824,63111,48332,36554,96373,15483,23798,11163,0,2986,191217,9816,13788
2012.416667,2353,4930,16761,16002,1751,0,24892,527,775775,6150,981,306268,62364,4497,0,83861,0,24251,13303,12407,11500,187,12332,43940,106926,0,3418,2673,4711,79716,1745,9859,36236,0,1870,16830,13846,5178,1854,0,3639,0,26416,29181,4768,54769,23118,29031,11640,4659,8859,12917,31331,63681,15432,6369,4582,11829,248707,31385,1476,12338,205020,34018,81001,48950,84424,20782,42343,10668,23691,13195,0,2010,184438,5720,11267
2012.5,1248,27143,47206,19500,2661,0,52998,775,937532,7150,2516,481958,87504,8404,0,120745,0,19405,27316,20494,13000,3255,14733,139337,903288,0,4917,6490,7677,81799,2668,21395,73866,0,32642,31240,15268,10102,9332,0,7667,0,43350,44215,11369,84788,391683,28146,11785,12331,16224,18181,31535,119584,21551,11020,14734,24732,490345,63499,3018,22245,238433,32640,132816,74788,105315,40191,66307,25612,46473,22893,0,5001,163658,11288,14195
2012.583333,290,7893,20548,17500,2104,0,30113,609,810619,6700,1719,465076,93490,3927,0,107881,0,20795,22644,16358,13800,2170,12664,73398,16884,0,3188,960,4880,51231,3658,12652,43457,0,21165,17579,16665,6731,4668,0,8222,0,20005,33012,6716,77551,379100,25199,10617,7826,11970,17244,23192,73344,12965,7429,14264,17864,579880,42832,1533,12946,227242,25006,102722,54826,142644,23053,41962,20932,28882,17235,0,5683,79261,9905,10340
2012.666667,877,9348,27289,14500,2377,0,24902,423,827191,6000,2463,485192,68319,6321,0,65794,0,21629,12791,15506,13000,500,9679,110964,8411,0,5221,2916,4211,46414,3327,10761,23902,0,37050,12368,15290,8534,3094,0,3965,0,11420,24817,6992,83821,70643,20713,10825,5105,8979,19103,24549,52134,10040,0,5588,15046,368433,33956,1557,8055,168713,30251,95778,50584,141472,18055,26557,15659,26812,17354,0,6480,71419,9588,11424
2012.75,1808,12646,48514,13800,2179,0,25838,432,677391,7600,2509,572604,83803,9233,0,60845,0,24570,12779,23131,10000,2165,25129,39100,4790,0,5020,6282,5735,53923,1345,15146,19320,0,45763,16588,19634,9851,1391,0,5356,0,10274,12205,7641,82940,16136,25549,14727,2346,16860,21015,31916,20680,6705,0,6644,20017,405769,31894,4314,3537,248979,33493,122002,64048,147541,447,12730,19146,29496,18219,0,8068,108249,15051,15930
2012.833333,2808,15862,86731,11500,1237,0,12739,185,601487,3500,1710,489521,72881,4551,0,82396,0,19480,10731,19603,10660,5001,8604,20748,2201,0,3288,4483,4273,50545,589,11825,7012,0,34983,16025,14542,7969,1196,0,4436,0,4985,2426,7679,52005,15058,54523,10418,2046,12935,22652,56047,8203,4134,0,7019,16933,383647,18839,4920,1287,259842,36022,103825,63644,125372,0,4848,20497,26599,10147,0,3655,73122,10076,17691
2012.916667,2013,13846,40136,12000,347,0,8243,135,617593,2800,1323,506258,66915,2922,0,80495,0,17103,10307,22933,8750,7137,7825,15486,1344,0,1184,4510,4269,67836,326,13172,8219,0,31094,15212,8315,8953,833,0,6324,0,0,1929,8140,42460,19067,10101,12062,1838,10416,27450,11391,6335,2622,0,9454,18980,381721,21349,7564,815,240938,31926,110366,52145,183281,0,1737,18637,26538,6835,0,2633,32973,7024,21680
