year_month,萬和宮,北港朝天宮,南鯤鯓代天府,大甲鎮瀾宮,鹿港龍山寺,佛光山,法鼓山世界佛教教育園區,清水祖師廟,麻豆代天府,中臺禪寺
2012,57860,1853000,789650,0,233650,2124974,20573,4185,456000,277396
2012.083333,30510,1311000,698200,0,172500,2002925,32877,4486,387600,218539
2012.166667,31600,1186700,690550,0,60930,720502,23681,805,364442,327312
2012.25,32200,836500,868700,0,44940,817685,31900,1874,605885,372260
2012.333333,81040,412100,855000,0,43965,660030,23560,1204,490259,329847
2012.416667,33340,189500,662250,0,35805,369809,18293,924,392207,274657
2012.5,70809,140600,792560,0,48285,392782,25064,1820,313765,305355
2012.583333,152188,120900,447500,0,34580,277967,21218,835,156882,271211
2012.666667,125601,147000,751000,0,34658,254654,25131,1190,215442,205806
2012.75,46326,322000,985750,0,45370,340282,26570,1732,318375,286532
2012.833333,33620,253000,976500,0,51765,416786,36540,1285,270618,322589
2012.916667,23170,279300,568200,0,4381,681591,27610,1430,263490,322977
2013,26900,189500,889650,93400,47335,195551,21550,904,364800,238499
2013.083333,57990,2562800,818600,1860350,514700,4163386,72969,5000,477266,261143
2013.166667,24100,1312000,750550,186950,66435,338559,29604,925,405676,306781
2013.25,28700,629500,585500,393610,42430,479927,27161,1940,484708,362378
2013.333333,30530,169600,955000,159500,42245,376044,25933,1238,515002,287713
2013.416667,25800,135000,695500,62150,45000,345400,24785,999,386252,244992
2013.5,25330,163200,893500,83900,70000,408519,22322,1716,412001,251165
2013.583333,56750,138400,495000,61250,23456,407277,22820,984,267800,291357
2013.666667,38390,276300,798000,80150,46010,355442,25981,1262,329600,258455
2013.75,24550,173200,1000000,70350,56665,236979,26298,1953,391400,204898
2013.833333,29170,186400,880350,69800,44715,398807,29494,1390,280160,256111
2013.916667,26530,226500,610000,73750,45816,521475,36668,1376,266152,266784
2014,48500,864400,800500,130550,133320,608252,37563,1250,332844,239801
2014.083333,55100,2372500,868600,1688250,292305,2944854,52385,2571,429539,307152
2014.166667,24800,624700,761000,289500,133950,473967,25880,946,385392,377038
2014.25,30890,671300,635200,811506,36685,404360,26496,1722,416848,393508
2014.333333,29353,285000,980000,154021,43360,353549,27016,1795,489251,338318
2014.416667,24550,196000,700500,94500,56780,341229,22543,996,539504,311571
2014.5,22950,153600,898000,77500,159495,417811,22105,1582,431603,292681
2014.583333,21650,174500,500000,67600,36280,377451,24099,980,302122,266961
2014.666667,29450,213600,820200,72550,37800,301337,21925,1256,313120,258763
