year_month,大雪山國家森林遊樂區,滿月圓國家森林遊樂區,明池森林遊樂區,合歡山國家森林遊樂區,惠蓀林場,棲蘭森林遊樂區,池南國家森林遊樂區,東眼山國家森林遊樂區,八仙山國家森林遊樂區,奧萬大國家森林遊樂區,知本國家森林遊樂區,內洞國家森林遊樂區,雙流國家森林遊樂區,阿里山國家森林遊樂區,墾丁國家森林遊樂區,溪頭自然教育園區,富源國家森林遊樂區,太平山國家森林遊樂區,萬瑞森林樂園
2012,12073,8318,10206,1907,15555,10697,4241,6728,9407,48877,16124,10779,7946,134498,25597,90648,7742,39515,964
2012.083333,6007,6900,7231,1887,13978,11920,1911,9615,12809,29026,11517,14170,5075,158728,14568,82678,5803,24271,1157
2012.166667,5449,10932,6846,1270,10911,5713,2925,8662,7657,8567,7597,15162,5006,371003,14271,99675,3621,17216,2671
2012.25,7313,13761,7972,1770,12963,6496,3254,12007,9660,7638,10527,16444,5264,254887,15266,117567,5877,21978,2089
2012.333333,6946,15801,7246,2623,12655,5338,2073,14051,7840,4988,6029,18445,3961,183801,11702,119051,3821,16111,1478
2012.416667,5207,10837,8434,557,9450,5648,2199,10841,4024,1237,3010,13254,1848,87996,8605,94663,3107,16326,201
2012.5,25647,25617,19778,1242,20680,14031,4611,27552,11487,3216,9416,33290,6586,180708,18055,214832,7108,49449,1927
2012.583333,8584,0,11667,641,12177,6149,2536,0,6136,0,5446,0,2939,44373,7673,147409,4720,0,1063
2012.666667,12692,0,11591,684,12613,5318,1841,2778,8724,0,86,0,2850,111837,13735,129458,4294,11106,3337
2012.75,15393,0,11684,912,22762,5958,3931,17902,11576,13892,5894,20706,5730,173934,16236,140280,5668,21396,3652
2012.833333,11424,0,12243,1831,16679,5704,3121,10942,10590,51773,9299,17128,6490,190714,14489,110591,3511,19372,3512
2012.916667,14961,0,9477,2278,12995,6266,2450,7839,8152,62211,9305,13599,4858,188021,14671,102674,5340,22183,1386
2013,5849,0,5214,1786,10260,9006,1092,3784,7822,16509,7953,12118,3451,150852,9588,73932,3175,14890,524
2013.083333,14617,13947,12422,1939,27600,18079,5200,13206,15544,32095,15980,22484,8985,186552,25470,103835,9670,31224,984
2013.166667,6641,11732,6814,1537,11845,7268,2736,8253,7108,5988,6861,17303,4236,298672,15292,101184,4577,15118,1457
2013.25,5864,8279,6599,1773,13593,6786,4855,6393,10546,2938,8294,10377,5665,230723,16509,97238,5302,15557,1283
2013.333333,5390,10887,6398,2298,11233,5762,2770,9382,9632,2531,6861,13452,3778,140853,11597,96658,3180,13641,3041
2013.416667,16812,22751,11949,2821,16876,9689,2191,19469,9465,3587,6268,23538,6587,138049,14020,131555,5136,25534,1713
2013.5,7993,18586,17178,3097,16035,12075,3656,16370,9306,5495,7929,21751,7306,146244,17931,164079,6089,29568,1058
2013.583333,0,16816,16367,2655,14728,10751,3793,14867,11702,5742,6892,23662,5084,145546,12932,142991,5566,29616,2028
2013.666667,3864,12672,8826,2277,16452,5800,2183,10353,8291,4697,3472,15185,4077,134402,10315,132001,3555,14342,3893
2013.75,12066,15064,10344,2625,20788,7262,2765,13061,13204,21694,6495,17210,7833,143538,18476,125428,4145,19304,8363
2013.833333,14211,16788,20803,2752,19302,8960,3621,14874,12413,76148,7115,18866,8056,172775,14474,130427,4447,24604,6982
2013.916667,18893,10143,13338,2426,12720,5846,2118,7042,10651,105934,6172,11377,4299,175360,14254,88349,3819,23362,2628
2014,7856,9472,9441,2081,10372,10586,2151,8538,7965,23479,8032,14470,4048,170203,13535,74651,4233,18257,361
2014.083333,11921,13485,16489,2185,19999,16683,3714,14500,12496,28007,10134,20922,7637,226561,19604,93336,7706,33878,2076
2014.166667,7884,11701,10483,1924,13342,7494,3531,8324,10930,7218,6131,16362,5137,388798,16439,102567,5694,17264,1718
2014.25,9402,16381,10501,2275,15395,6608,5332,12454,12885,5378,7486,19942,6564,290910,17190,127221,5599,17156,3111
2014.333333,7340,10484,8790,2886,12644,6943,4066,10495,9781,3445,6798,14036,5617,202715,14921,103978,5150,15846,834
2014.416667,13492,14796,10919,2754,14392,8638,3744,15370,10004,3917,6222,17505,4248,205603,15624,140424,4429,24256,5311
2014.5,28842,22274,23020,3141,19983,16007,4546,21327,12125,8566,8666,28811,6434,212549,20030,208466,6706,35868,1332
2014.583333,23390,23770,24975,3694,19037,15368,5998,22871,12233,8881,9027,29273,5388,199884,16788,194221,8622,36585,3434
2014.666667,17561,17758,15552,3024,13511,10168,3068,18137,10231,7789,5859,23414,4375,176049,12346,166739,4184,21717,6778
2014.75,17918,16579,18012,3507,23171,10314,4061,18371,13049,28705,9220,22967,6234,225527,20213,161772,7064,32642,12240
2014.833333,16573,20734,26671,3216,16050,9824,3139,17021,11907,73200,7641,21141,7189,232939,17715,128547,4785,31159,4982
2014.916667,17033,11771,17126,2832,10296,7175,2503,6567,10131,73175,7719,12782,4638,229741,15708,108600,4583,23188,5748
2015,13746,14767,16145,2475,15145,10649,2473,15075,12884,29708,10691,19898,5531,227846,15053,102385,6222,30901,3026
2015.083333,13289,13313,24187,2910,20255,18961,4116,15120,16652,26690,15363,21735,7901,255544,24999,97006,9400,41427,2337
2015.166667,9061,10838,11537,2345,9840,6323,2877,9374,9299,6194,7366,15895,5619,301224,14007,95283,3403,16798,4898
2015.25,13299,16482,10107,2764,15236,7346,4347,15305,12909,6017,9521,23159,6739,262628,16029,138385,5658,23897,4893
2015.333333,11100,16630,9464,3114,14942,9327,3969,14136,9257,3785,7972,18909,4366,215738,13272,123127,5721,19434,1896
2015.416667,22464,20229,13095,3442,16833,10985,3325,21451,11701,4754,7122,23274,6160,195536,11275,167150,4908,27953,4734
2015.5,27160,20505,16719,3194,20907,13536,4862,21652,13829,8022,8790,25997,5255,219012,14872,201895,6005,38122,3927
2015.583333,14517,5833,7783,1552,14678,6495,3214,9690,8530,5567,7202,7421,4320,183322,12913,142205,5663,18412,5560
2015.666667,14148,0,10722,1821,16516,6918,1948,14593,8588,7364,5799,0,4524,166287,10569,162128,4669,22673,7750
2015.75,18962,0,13947,2316,23941,10106,3975,17683,15683,19971,9346,0,8586,231109,17749,161213,7358,25196,11997
2015.833333,20892,0,19272,3225,21370,9642,3909,21598,16557,71431,9656,0,8652,237990,16105,163039,6004,32140,4751
2015.916667,20177,5011,15575,3206,14721,8340,2542,11173,12717,110187,9078,0,7017,217153,14071,134553,5516,24884,2256
2016,14434,8747,11065,2692,11272,8033,1645,9611,9161,25917,8434,0,4618,204430,11965,75622,4606,30713,219
2016.083333,13535,12776,14002,2304,20732,8410,3542,16811,17263,29202,16089,0,8104,238182,23390,94018,11815,9038,6965
2016.166667,6136,7821,7974,1991,8951,8726,2641,7994,8751,8285,7407,0,5932,329911,10859,83521,3654,12893,3313
2016.25,11733,15561,6751,2738,13944,8619,4359,16174,12098,6865,11347,0,8024,275802,13860,129408,5947,20635,6733
2016.333333,13552,17060,7668,3825,14066,9219,3699,15659,12119,5162,8783,0,7439,200691,13639,147886,4339,20176,2668
2016.416667,18053,15225,10462,2247,15273,12851,2479,18278,11531,5122,5662,0,4642,157891,8708,160346,4814,26444,1981
2016.5,34893,24257,21962,2303,24341,18162,3597,26699,17409,13058,3377,0,7567,184632,19278,210661,5928,39171,2783
2016.583333,25102,18617,22953,3480,17449,14023,2975,19954,13416,8583,0,0,4812,153468,12486,181167,5712,35246,2653
2016.666667,11292,10913,9840,2196,11628,7687,1768,11522,9521,4081,2573,0,1977,82862,3367,135784,3357,13365,7063
2016.75,16583,16746,6093,3180,16386,9622,3408,15203,15917,14889,4953,0,4701,123131,6183,148066,3940,24195,12972
2016.833333,17900,18300,20684,3387,15304,13784,3743,15492,13264,50615,8586,0,5938,137732,15171,129238,5226,33605,6906
2016.916667,21009,18845,20795,3257,13044,12854,2490,15133,14395,94402,10894,0,5819,157055,15273,130313,6663,32255,1675
2017,16860,15082,16947,2701,18487,9834,2229,14470,14242,37197,12969,0,6343,149995,18929,104863,7359,35135,3380
2017.083333,9135,10510,14820,2530,12810,11042,2538,10825,15127,24040,14313,0,6856,158169,17494,89551,4408,36209,3029
2017.166667,6045,9904,8394,2052,10785,7960,2281,8232,9623,8351,8280,0,3747,239610,13111,101814,2919,16737,1618
