year_month,角板山遊憩區,台東森林公園,烏來風景特定區,內灣風景區,碧潭風景特定區,冬山河親水公園,七星潭風景區,小烏來風景特定區,石門水庫風景區,龍潭湖,霧社,東埔溫泉,武荖坑風景區,蘭潭,瑞芳風景特定區,五峰旗風景區,鐵砧山,虎頭山風景特定區
2012,0,0,156766,235550,91980,40886,114316,109899,137605,28593,51349,19660,3731,72001,185037,36615,29752,0
2012.083333,0,0,71084,162409,104201,24281,89573,87645,96815,24382,38147,18137,1587,92001,104201,29718,27025,0
2012.166667,0,0,61026,161792,65170,25250,110094,88683,83386,30386,31502,24385,11523,96861,182084,31780,13033,0
2012.25,0,0,60456,247365,124779,37559,103765,97911,114032,35362,39889,28438,248138,98988,158601,33000,19527,0
2012.333333,0,0,54521,197735,97854,28388,111439,108630,94338,33999,31263,29859,127094,92442,187909,18931,32751,0
2012.416667,0,0,56965,174949,127975,48775,166179,96228,84717,25712,22982,9856,5411,94792,142826,12994,25939,0
2012.5,0,0,74120,244511,106832,293924,203753,202530,95622,26204,69253,39596,18410,92732,173984,23250,353148,0
2012.583333,0,0,61170,241230,68020,162840,199673,86478,84974,102326,48756,23230,10047,95683,221185,31363,412652,0
2012.666667,0,0,64791,237994,83870,32956,97772,135939,77228,30994,39059,19303,6448,95613,211267,42127,382915,0
2012.75,0,0,59891,240743,135540,45418,96666,122233,122734,33938,53862,31770,7711,94513,257360,73927,210605,0
2012.833333,0,0,65211,237154,127433,32732,107002,73836,68634,33032,45450,33310,3866,94733,284673,52840,188934,0
2012.916667,0,0,82358,239185,126965,27136,86208,56352,119895,29036,51779,17931,2506,93422,193699,53725,128829,0
2013,0,0,102498,244921,52530,18306,90875,45447,104337,21581,33636,17227,1363,98451,213821,37573,108459,0
2013.083333,0,0,186584,250984,112190,49372,95689,81870,142162,27368,61304,20024,5253,197712,131165,104495,169826,0
2013.166667,0,0,74264,248993,63960,31690,107911,56175,89139,30029,40458,20598,13376,143623,216932,56225,115149,0
2013.25,0,0,66564,243669,122800,28318,112488,44937,95748,34234,29491,24304,255372,139975,220285,44620,126647,0
2013.333333,0,0,60092,274590,105580,25816,114171,45519,84805,31622,30265,22320,153802,129367,224589,59317,110006,0
2013.416667,0,0,62885,284794,152480,55264,167408,70599,85486,29010,45293,16272,8403,126544,173492,78316,126006,0
2013.5,0,0,83050,256500,130450,269539,205791,72570,100573,26066,62076,27104,15781,119640,207746,82818,151152,0
2013.583333,0,0,81624,269103,89030,323030,200657,63873,90687,24231,62200,25998,11924,117210,205056,84322,248578,0
2013.666667,0,0,76017,287027,85180,25653,101766,58953,90931,28490,37819,18998,6471,113800,234581,62226,268427,0
2013.75,0,0,72050,266993,138000,35837,99750,51960,130330,32429,54999,32232,6844,110221,245000,57136,130174,0
2013.833333,0,0,83896,240935,123600,32634,114335,48126,102221,32455,58388,27717,5203,139462,284767,52530,129907,0
2013.916667,0,0,82432,224473,130537,25272,163668,40026,210750,28995,55718,12915,2027,129585,197381,39949,97952,0
2014,96577,0,120000,266705,82300,24765,94117,43233,99201,32272,41050,18641,2052,131011,277050,45792,98596,0
2014.083333,43226,0,246566,258161,153460,42213,107206,55206,156962,37491,55394,18697,4192,139060,367970,70926,159779,0
2014.166667,24872,0,105000,296613,93000,33420,92346,44244,120416,38969,46580,25704,18947,132430,324215,61310,123903,0
2014.25,23377,0,95280,259509,138000,34345,82652,58425,98107,42783,49251,25099,265528,128423,303900,57993,124295,0
2014.333333,23752,0,91800,226451,117200,32231,121631,44169,108806,45123,38131,24469,161524,122264,298650,47166,110051,0
2014.416667,27820,0,97025,219795,165200,45293,90151,64644,101860,37841,53432,13797,7906,118700,300050,75007,107506,0
2014.5,33184,0,104573,219387,137100,282161,92648,78819,117422,33813,79721,32743,15615,115600,345690,120322,116759,0
2014.583333,29518,0,112500,274671,91000,244118,101710,76704,93111,34189,86735,31472,12359,109442,405670,121972,199683,0
2014.666667,21345,0,93056,218272,86000,25767,92030,60684,103745,25899,51836,15631,7363,103121,324262,73555,268517,0
2014.75,23922,0,85360,215322,131690,41892,103465,58011,125160,38812,74707,26492,6277,107121,393775,75421,169875,0
2014.833333,22627,0,98250,253242,118800,28501,104596,43704,98110,36233,71682,23048,5501,105210,412765,69698,111494,0
2014.916667,26291,0,91270,211487,127510,28832,166643,36084,160119,35310,65016,15355,2090,118704,273200,48055,84775,0
2015,98269,0,134473,233810,120000,25472,159010,81066,171445,37284,54862,17353,3016,102548,328170,55456,83138,0
2015.083333,43325,0,250765,428279,154000,42147,146936,68322,129673,41561,75802,16713,5341,138162,379140,68058,108024,0
2015.166667,24664,0,107063,266695,93300,25273,95310,57522,167851,16464,49220,18620,26815,123400,326600,50842,86447,0
2015.25,28377,0,97000,293008,140000,32942,92319,70092,131563,20942,53862,28305,245544,116800,310455,70823,76711,0
2015.333333,25021,0,92453,320990,118850,28242,96526,57285,112595,28171,42609,22964,1952,108630,299100,64715,82806,0
2015.416667,25542,0,101210,261174,167000,31424,106578,62409,111435,23090,58165,14343,9741,104800,333615,81040,67840,0
2015.5,32685,0,105650,307276,138000,218177,147081,69753,103400,16835,81230,21427,13669,102800,348000,107405,61161,0
2015.583333,22327,0,25553,373409,91640,158480,125144,37581,88284,15193,67532,20325,6104,127361,413555,70950,53976,0
